aids,canonicalsmiles
0,"InChI=1S/C36H41ClFN5O3S/c1-24-39-33-8-3-4-9-34(33)43(24)30-22-28-11-12-29(23-30)42(28)19-16-36(25-6-5-7-26(38)20-25)14-17-41(18-15-36)35(44)31-21-27(10-13-32(31)37)40-47(2
0,"InChI=1S/C36H40N4O3/c1-25-37-32-13-7-8-14-33(32)40(25)29-23-27-15-16-28(24-29)39(27)22-19-36(26-9-3-2-4-10-26)17-20-38(21-18-36)34(41)30-11-5-6-12-31(30)35(42)43/h2-14
0,20
5S)-3-(2-methylbenzimidazol-1-yl)-8-azabicyclo[3.2.1]octan-8-yl]ethyl]piperidine-1-carbonyl]benzenesulfonamide",7
0,14
0,3
0,"InChI=1S/C37H42N4O3/c1-26-38-33-13-6-7-14-34(33)41(26)32-24-30-15-16-31(25-32)40(30)22-19-37(29-11-4-3-5-12-29)17-20-39(21-18-37)35(42)27-9-8-10-28(23-27)36(43)44-2/h3-14
691.242,"InChI=1S/C36H42ClN5O3S2/c1-24-39-32-5-3-4-6-33(32)42(24)29-22-27-10-11-28(23-29)41(27)20-17-36(26-8-12-30(46-2)13-9-26)15-18-40(19-16-36)35(43)25-7-14-31(37)34(21-25)47(38
0,29-31H
CC1=NC2=CC=CC=C2N1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)C6=CC(=C(C=C6Cl)F)S(=O)(=O)NCC(F)(F)F)C7=CC(=CC=C7)F,95.900
2,17
687.301,"InChI=1S/C38H46ClN5O3S/c1-25(2)27-7-6-8-29(21-27)38(15-18-42(19-16-38)37(45)28-11-14-33(39)36(22-28)48(40
0,"InChI=1S/C34H38N4O/c39-33(26-9-3-1-4-10-26)36-20-17-34(18-21-36
2,4
0,29-31H
0,6
2D+3D,29-31
0,"InChI=1S/C34H38N4O2/c39-32(25-9-3-1-4-10-25)36-20-17-34(18-21-36
0,18
679.215,7
2,15
659.27,7
1,22
0,29-31H
9,15-24H2
0,14
0,12
2,47)48/h2-10
0,13
0,10-11
2,3)31(40)41/h4-10
2-dimethyl-3-oxopropanoic acid",41
645.254,"InChI=1S/C35H40ClN5O3S/c1-24-38-31-9-5-6-10-32(31)41(24)29-22-27-12-13-28(23-29)40(27)20-17-35(26-7-3-2-4-8-26)15-18-39(19-16-35)34(42)25-11-14-30(36)33(21-25)45(37
1,3)23-38/h4-12
2,11-12
713.241,"InChI=1S/C36H39ClF3N5O3S/c1-23-42-31-4-2-3-5-32(31)45(23)29-21-27-11-12-28(22-29)44(27)19-16-35(25-7-9-26(10-8-25)36(38
1,15-16
0,4
2,14
697.206,7
0,1
4-dichloro-3-[4-(3-fluorophenyl)-4-[2-[(1R,7
1,3
679.28,9
0,"InChI=1S/C36H38N4O4/c1-24-37-31-13-7-8-14-32(31)39(24)28-21-26-15-16-27(22-28)40(26)33(41)23-36(25-9-3-2-4-10-25)17-19-38(20-18-36)34(42)29-11-5-6-12-30(29)35(43)44/h2-14
2,14
2,11-12
0,10
0,"InChI=1S/C35H37F3N4O/c36-35(37
0,"InChI=1S/C35H38ClF2N5O3S/c1-22-40-31-7-2-3-8-32(31)43(22)27-18-25-9-10-26(19-27)42(25)16-13-35(23-5-4-6-24(37)17-23)11-14-41(15-12-35)34(44)28-20-33(47(39
0,13
0,12
4-dichlorophenyl)-4-[2-[(1R,6
2D+3D,2
2,12
2,"InChI=1S/C36H40ClF2N5O3S/c1-23-40-32-8-3-4-9-34(32)44(23)28-19-26-10-11-27(20-28)43(26)17-14-36(24-6-5-7-25(38)18-24)12-15-42(16-13-36)35(45)29-21-33(41-48(2
0,9
0,"InChI=1S/C36H41ClFN5O3S/c1-24-39-33-8-3-4-9-34(33)43(24)30-22-28-11-12-29(23-30)42(28)19-16-36(25-6-5-7-26(38)20-25)14-17-41(18-15-36)35(44)31-13-10-27(21-32(31)37)40-47(2
0,"InChI=1S/C35H39FN4O/c1-25-37-32-9-5-6-10-33(32)40(25)31-23-29-15-16-30(24-31)39(29)22-19-35(27-7-3-2-4-8-27)17-20-38(21-18-35)34(41)26-11-13-28(36)14-12-26/h2-14
0,45)46/h2-7
5-dichlorophenyl)-4-[2-[(1R,6
0,6
4,3)4/h5-13
0,13
1,"InChI=1S/C34H41FN4O3/c1-23-36-29-8-2-3-9-30(29)39(23)28-21-26-10-11-27(22-28)38(26)19-16-33(24-6-4-7-25(35)20-24)14-17-37(18-15-33)31(40)34(32(41)42)12-5-13-34/h2-4
0,45)46/h2-8
0,3)4/h5-11
2,17
0,9
663.245,"InChI=1S/C35H39ClFN5O3S/c1-23-39-31-7-2-3-8-32(31)42(23)29-21-27-10-11-28(22-29)41(27)18-15-35(25-5-4-6-26(37)20-25)13-16-40(17-14-35)34(43)24-9-12-30(36)33(19-24)46(38
0,14
0,3)31(40)36-44(4
2,46
0,45)39(2)3/h4-15
1,45)46)25(2)35(24)36(44)41-18-15-37(16-19-41
0,26-7-6-8-27(40)20-26)15-19-45-28-11-12-29(45)22-30(21-28)46-25(2)43-34-9-4-5-10-35(34)46/h4-10
2,"InChI=1S/C37H40N6O2S/c1-25-38-32-12-5-6-13-33(32)43(25)31-23-29-14-15-30(24-31)42(29)21-18-37(28-10-3-2-4-11-28)16-19-41(20-17-37)35(44)27-9-7-8-26(22-27)34-39-36(46)45-40-34/h2-13
0,"InChI=1S/C33H39N3O/c37-32(26-10-4-1-5-11-26)35-21-18-33(19-22-35
"6-[4-[2-[(1S,47
2,49)43-35-22-31(32(40)23-33(35)41)37(47)44-16-13-38(14-17-44
0,13
0,"InChI=1S/C36H42N4O2/c1-26-37-33-13-6-7-14-34(33)40(26)31-24-29-15-16-30(25-31)39(29)22-19-36(28-10-4-3-5-11-28)17-20-38(21-18-36)35(41)27-9-8-12-32(23-27)42-2/h3-14
0,12-14
0,45)46/h2-6
2,12
697.206,7
0,25-7-6-8-26(39)19-25)15-18-44-27-11-12-28(44)21-29(20-27)45-24(2)42-33-9-4-5-10-34(33)45/h4-10
0,22
0,12
0,29-31
0,26-7-6-8-27(40)19-26)15-18-45-28-11-12-29(45)21-30(20-28)46-25(3)42-34-9-4-5-10-35(34)46/h4-10
0,10-11
1,19
2,3
1,15-24H2
0,9
0,"InChI=1S/C37H39ClF5N5O3S/c1-23-45-32-7-2-3-8-33(32)48(23)28-18-26-9-10-27(19-28)47(26)16-13-36(24-5-4-6-25(39)17-24)11-14-46(15-12-36)35(49)29-20-34(31(40)21-30(29)38)52(50
1,"InChI=1S/C36H40N8O/c1-25-37-32-12-5-6-13-33(32)44(25)31-23-29-14-15-30(24-31)43(29)21-18-36(28-10-3-2-4-11-28)16-19-42(20-17-36)35(45)27-9-7-8-26(22-27)34-38-40-41-39-34/h2-13
1,5
0,12
0,16-25H2
0,"InChI=1S/C36H41N5O3/c1-25-37-32-12-5-6-13-33(32)41(25)31-23-29-14-15-30(24-31)40(29)21-18-36(28-10-3-2-4-11-28)16-19-39(20-17-36)35(43)27-9-7-8-26(22-27)34(42)38-44/h2-13
0,27-29H
0,6
3,2
1,17
0,6
NULL,1-9
0,18
Biological Test Results|Classification|Literature,12-17H2"
0,4
2D+3D,1-2
1,16
17,13-15H
2,13-14
2,"InChI=1S/C26H31N7/c1-18-6-5-14-32(18)15-13-20-7-9-23-21(16-20)8-10-24(28-23)22-17-27-33(19(22)2)26-12-11-25(29-30-26)31(3)4/h7-12
0,2
2D+3D,2-6
0,4
0,4
0,15H
NULL,1-4
0,4
0,12-14H
0,18
NULL,1-6
0,13-14H
0,"InChI=1S/C17H24N2O2/c1-2-10-19(11-3-1)12-4-13-20-16-7-5-15(6-8-16)17-18-9-14-21-17/h5-8H
0,7
0,7
1,2
0,6
NULL,12-15H2
10,15-17H
445.192,31
445.192,31
0,"InChI=1S/C24H26N2O2/c1-17-3-2-11-26(17)12-10-18-4-7-22-19(13-18)5-8-23(25-22)20-6-9-24-21(14-20)15-27-16-28-24/h4-9
2,8-13H
0,7
0,3
2D+3D,1-6
0,7
0,5
2,9
0,15H
3-dihydro-1,637.000
11,17-18H
1,7
0,14H
1,2-3
2,5
0,7
0,7
0,7
431.177,30
3,17H
4-dioxide",32
1,30
2D+3D,3-4
0,6
0,7
0,6-11H
0,5
0,"InChI=1S/C17H25N3O/c1-14(2)18-9-11-19(12-10-18)17(21)20-8-7-15-5-3-4-6-16(15)13-20/h3-6
NULL,1-7
1,18
0,8
0,4.100
1,29
0,7
0,13-15H
0,6
1,16
2,19
2D+3D,18H
2,11-14
2,3-4
0,"InChI=1S/C23H30N2O4S2/c1-19-3-2-13-24(19)14-12-20-4-6-21(7-5-20)22-8-10-23(11-9-22)31(28
10,15-16H
0,3.800
0,12-15H
0,15H
1,7
2,16-17H
459.208,32
2,4
2,12-14H
0,8
1,19H
1,2-3
0,6-11
NULL,5-12H2"
0,7
0,17H
1,2-3
3,13
0,3-4
1,12-15H
0,"InChI=1S/C19H27N3O/c1-16(2)20-12-14-22(15-13-20)19(23)21-10-8-18(9-11-21)17-6-4-3-5-7-17/h3-8
330,6-11H
2,11
NULL,6-13H2
0,12
0,7
2D+3D,3-4
2,2-3
2,7-16
0,3-4
0,6
1,20
2D+3D,2-4
7,19H
0,7
0,13-15H
0,29)27-20(2)17-30-18-21(27)3/h6-13
11,3-4
16,15-16H
2,18
0,"InChI=1S/C24H22Cl2N4S/c1-15-3-2-9-30(15)10-8-16-4-6-19-17(11-16)5-7-20(27-19)21-14-31-24(28-21)18-12-22(25)29-23(26)13-18/h4-7
0,7-12
2,"InChI=1S/C23H27N3O2/c1-17-6-11-21-22(16-17)24-18(2)26(23(21)27)19-7-9-20(10-8-19)28-15-5-14-25-12-3-4-13-25/h6-11
0,7
2D+3D,2-4
7,18
2D+3D,16H
2,17H
0,15H
12,13-16
1,4
0,7
1,2-3
2,14-16H
2,14-16H
2D+3D,2-3
0,27
0,"InChI=1S/C19H23N3S/c1-14-3-2-10-22(14)11-8-15-4-6-17-16(13-15)5-7-18(21-17)19-20-9-12-23-19/h4-7
0,14-15H
0,28
0,1-2H3
1,2
0,7
2D+3D,3-5
0,9
1,27
0,"InChI=1S/C21H25N3O/c1-14-5-4-11-24(14)12-10-17-6-8-19-18(13-17)7-9-20(23-19)21-15(2)22-16(3)25-21/h6-9
3,24H
2D+3D,3-6
5,18
1,2-3
0,17H
13,17-20H
2D+3D,4-6
0,"InChI=1S/C21H25N3S/c1-14-5-4-11-24(14)12-10-17-6-8-19-18(13-17)7-9-20(23-19)21-15(2)22-16(3)25-21/h6-9
0,"InChI=1S/C24H26N4/c1-17-6-5-13-27(17)15-12-19-8-10-21-20(16-19)9-11-22(26-21)24-18(2)25-23-7-3-4-14-28(23)24/h3-4
4,"InChI=1S/C21H26N4/c1-15-5-4-11-25(15)12-10-17-6-8-20-18(13-17)7-9-21(22-20)19-14-24(3)23-16(19)2/h6-9
1,10-17H
1,17
445.192,31
1,5
0,13-14
0,666.000
0,7
0,4
1,30
0,13-14H
1,20H
2,3-4
2,7-16
0,7
12,16-18H
83,"InChI=1S/C22H22N2O/c1-16-3-2-11-24(16)12-10-21-14-20-13-19(8-9-22(20)25-21)18-6-4-17(15-23)5-7-18/h4-9
0,11-14H2
0,14H
0,18H
2,18
0,"InChI=1S/C23H27N3O2/c1-17-7-5-8-21-22(17)24-18(2)26(23(21)27)19-9-11-20(12-10-19)28-16-6-15-25-13-3-4-14-25/h5
0,"InChI=1S/C21H26N4/c1-14-5-4-11-25(14)12-10-17-6-8-19-18(13-17)7-9-20(22-19)21-15(2)23-24-16(21)3/h6-9
2D+3D,7-12H2
0,"InChI=1S/C23H27N3/c1-16-6-9-21(18(3)24-16)23-11-8-20-15-19(7-10-22(20)25-23)12-14-26-13-4-5-17(26)2/h6-11
0,13-14H
2,20
2D+3D,2-3
7,18
0,17
NULL,6-8
1,3-4
NULL,6-13H2
2,2-3
2D+3D,19H
2,16H
2,"InChI=1S/C26H26Cl2N4/c1-17-4-3-12-31(17)13-11-19-5-9-25-20(14-19)6-10-26(30-25)22-16-29-32(18(22)2)21-7-8-23(27)24(28)15-21/h5-10
12,16-18H
0,2
1,13-14
0,4
0,18
3,15H
0,7
Biological Test Results|Classification|Literature,1-2H3"
0,10
0,5
3-dihydro-1,637.000
2D+3D,3-5
0,15-16
0,"InChI=1S/C23H27N3O2/c1-17-7-5-8-21-22(17)23(27)26(18(2)24-21)19-9-11-20(12-10-19)28-16-6-15-25-13-3-4-14-25/h5
0,6
2,"InChI=1S/C21H26N4/c1-15-5-4-11-25(15)12-10-17-6-8-20-18(13-17)7-9-21(23-20)19-14-22-24(3)16(19)2/h6-9
3,17
2,"InChI=1S/C23H27N3O2/c1-17-6-11-22-21(16-17)23(27)26(18(2)24-22)19-7-9-20(10-8-19)28-15-5-14-25-12-3-4-13-25/h6-11
2,18
2,12
1,18
2D+3D,4-6
0,13
2,17
0,"InChI=1S/C26H26N4S/c1-17-6-5-14-29(17)15-13-19-9-11-21-20(16-19)10-12-23(27-21)25-18(2)30-24-8-4-3-7-22(24)28-26(30)31-25/h3-4
2,3-4
2,17
3,17-18H
1,10-17H
12,17-18
0,4
0,4
NULL,15-18H2
2D+3D,4-6
0,32
2,16-17H
2,7
4,1H3
2,7
C1=CC=C(C=C1)CN, >=99.0%|Benzylamine
34,9-10
1,16H
0,32)27-23(30)29-11-7-17(8-12-29)28-13-9-18(10-14-28)33-19-3-6-21(25)22(26)15-19/h1-6
0,32)27-24(30)29-12-8-18(9-13-29)28-14-10-19(11-15-28)33-20-6-7-21(25)22(26)16-20/h2-7
0,33)21-3-1-2-17(14-21)16-27/h1-5
"4-[4-(3,526.500
0,32)27-24(30)29-12-8-17(9-13-29)28-14-10-18(11-15-28)34-19-6-7-20(25)21(26)16-19/h2-7
0,32)27-24(30)18-5-3-2-4-6-18/h2-8
0,20
0,32)27-23(30)29-10-6-17(7-11-29)28-12-8-18(9-13-28)33-19-4-5-21(25)22(26)15-19/h1-5
1,15-17H
0,32)20-4-1-16(26)2-5-20/h1-6
0,32)27-24(30)29-12-8-17(9-13-29)28-14-10-19(11-15-28)34-20-4-7-22(25)23(26)16-20/h2-7
0,32)27-24(30)29-12-8-18(9-13-29)28-14-10-19(11-15-28)33-20-4-7-22(25)23(26)16-20;/h2-7
0,35)22-6-4-19(5-7-22)30(2)3/h4-9
1,31)21-4-2-3-17(15-21)24(29)28-11-7-18(8-12-28)27-13-9-19(10-14-27)32-20-5-6-22(25)23(26)16-20/h2-6
0,32)22-4-2-1-3-20(22)25/h1-6
0,36)16-2-5-26(32)33/h1
0,31)26-23(29)17-4-2-1-3-5-17/h1-7
0,"InChI=1S/C21H24Cl2N2O3/c1-27-17-4-2-3-15(13-17)21(26)24-9-12-25-10-7-16(8-11-25)28-18-5-6-19(22)20(23)14-18/h2-6
0,12-13H
1,15-18H
2,"InChI=1S/C26H30Cl2N2O4/c1-16-3-5-18(6-4-16)25(31)29-12-9-19(10-13-29)30-14-11-20(15-22(30)26(32)33)34-23-8-7-21(27)17(2)24(23)28/h3-8
0,34)28-25(32)31-13-9-19(10-14-31)30-15-11-20(12-16-30)35-21-5-8-23(26)24(27)17-21/h3-8
0,15
0,32)27-24(30)29-12-8-18(9-13-29)28-14-10-19(11-15-28)33-20-4-7-22(25)23(26)16-20/h2-7
0,19
0,14-15
0,32)27-24(30)29-11-7-18(8-12-29)28-13-9-19(10-14-28)33-20-5-6-22(25)23(26)16-20/h2-6
0,5
0,5
0,32)27-24(30)29-12-8-19(9-13-29)28-14-10-20(11-15-28)33-23-7-4-18(25)16-22(23)26/h2-7
0,34)28-25(32)31-13-9-18(10-14-31)30-15-11-19(12-16-30)35-20-7-8-21(26)22(27)17-20/h3-8
0,32)17-18-4-2-1-3-5-18/h1-7
0,31)20-4-2-1-3-5-20/h1-7
0,17
0,33)28-25(31)30-13-9-19(10-14-30)29-15-11-20(12-16-29)34-23-8-7-22(26)18(2)24(23)27/h3-8
1,33)28(2)25(31)30-13-9-19(10-14-30)29-15-11-20(12-16-29)34-21-5-8-23(26)24(27)17-21/h3-8
0,"InChI=1S/C24H26Cl2F3N3O4S/c25-21-5-4-19(15-22(21)26)36-18-8-12-31(13-9-18)17-6-10-32(11-7-17)23(33)30-37(34
0,14-15
0,17-19
0,"InChI=1S/C25H28Cl2N2O6S/c1-36(33
2,"InChI=1S/C26H30Cl2N2O4/c1-16-3-5-18(6-4-16)25(31)29-12-9-19(10-13-29)30-14-11-20(15-22(30)26(32)33)34-23-8-7-21(27)17(2)24(23)28/h3-8
2D,3
0,21H
0,12
0,21H
0,22H
21,21E
0,27H
0,15H
NULL,12-13H2
NULL,15-16H2
NULL,12-13H2
NULL,13-14H2
0,12
2D,26H
0,20H
UCHDWCPVSPXUMX-TZIWLTJVSA-N,891.000
0,21H
2D,20H
NULL,13-14H2
0,13H
NULL,13-14H2
1,15
0,11
0,14H
NULL,14-15H2
0,24H
0,27H
NULL,17-18H2
0,13
NULL,12-13H2
1,12
NULL,14-15H2
0,18H
2D,24H
0,12
0,13
7-tetrahydro-|Ticlopidina (INN-Spanish)|Ticlopidine [INN:BAN]|SMR000641861|CAS-55142-85-3|Ticlopidin-Puren (TN)|5-(2-chlorobenzyl)-4,6
0,11
0,"InChI=1S/C27H26N2.ClH/c1-29(21-25-12-8-13-27-26(25)18-19-28-27)20-7-3-4-9-22-14-16-24(17-15-22)23-10-5-2-6-11-23;/h2-19
1,16
NULL,14-15H2
1,11
NULL,13-14H2
2D,24H
0,18H
0,13
0,16
2D,24H
NULL,14-15H2
0,14H
0,17H
NULL,13-14H2
NULL,13-14H2
0,20H
NULL,13-14H2
0,21H
0,12
0,23)24;/h3-12
NULL,9-10H2
NULL,18-19H2
0,13H
1,24)25;/h3-12
NULL,13-14H2
2,7
2D,14H
0,26H
0,19H
0,14H
0,21)22)11-5-7-13-6-4-10-15(12-13)23-14-8-2-1-3-9-14;;;/h1-4
NULL,12-13H2
2D,23H
0,15H
NULL,13-14H2
NULL,12-13H2
NULL,13-14H2
0,25H
2D,19H
0,13
0,13H
NULL,13-14H2
2D,12
NULL,13-14H2
0,13H
2D,17H
2D,24H
2D,3
2D,13
0,14H
0,19H
NULL,13-14H2
0,22H
0,14-15H
NULL,12-13H2
NULL,14-15H2
0,15-16H
0,13
NULL,16-17H2
0,13H
NULL,14-15H2
0,14H
5-dimethylpyridin-2-yl)|BRD-A55962179-001-04-9|BRD-A55962179-001-08-0|BRD-A55962179-001-20-5|BRD-A88691025-001-07-4|F0001-2386|Z1501475006|Omeprazole,3-benzodiazole|OMEPRAZOLE COMPONENT OF ZEGERID|NSC 751450|NSC 759192|Omeprazole [USAN:USP:INN:BAN:JAN]|OMEPRAZOLE COMPONENT OF YOSPRALA|NCGC00016925-06|Esomperazole|SMR000058847|Emilok|CAS-73590-58-6|Omeprazol (INN-Spanish)|Omeprazolum (INN-Latin)|5-Methoxy-2-[[(4-methoxy-3
1,22)16-9-7-14(8-10-16)4-3-11-23-12-15-13-24-18-6-2-1-5-17(15)18;/h1-10
2D,14H
2D,14H
NULL,10-11H2
NULL,12-13H2
4-dioxo-1H-pyrimidin-6-yl)methyl]piperidin-4-yl]amino]-7,9
1,5
0,4
554.246,8
554.246,8
440.142,5
8-dihydro-5H-thiopyrano[4,8
0,7
1,5
CC1=CC(=CC(=C1OC2=NC(=NC3=C2SC=C3)NC4CCN(CC4)CC5=CC=C(C=C5)S(=O)(=O)N)C)C=CC#N,40
3-d]pyrimidin-4-yl]oxy]-3,9
0,4
1,6
0,7
528.231,7
0,4
0,4
1,4
528.231,7
589.218,8
0,5
3-d]pyrimidin-2-yl]amino]piperidin-1-yl]methyl]benzenesulfonamide",7
0,9
1,5
0,"InChI=1S/C21H22F2N2O2/c1-12(2)20(24)21(27)25-11-14(17-10-15(22)6-7-18(17)23)9-19(25)13-4-3-5-16(26)8-13/h3-10
CC(C)(C)C(C(=O)N1CC(=CC1C2=CC=CC=C2)C3=C(C=CC(=C3)F)F)NC(=O)OCCO,C25H28F2N2O4
2,5
0,7
IJRNEIZWDUWVAW-FCHUYYIVSA-N,37
0,C4H5N
0,"InChI=1S/C20H20F2N2O3/c1-23(7-8-25)20(27)24-12-14(17-11-15(21)5-6-18(17)22)10-19(24)13-3-2-4-16(26)9-13/h2-6
467.131,6
0,"InChI=1S/C21H19F2NO3/c22-15-6-7-18(23)17(10-15)14-9-19(13-2-1-3-16(25)8-13)24(11-14)21(27)20(26)12-4-5-12/h1-3
0,2.700
0,"InChI=1S/C21H20F2NO6P/c22-15-6-7-18(23)17(10-15)14-9-19(24(11-14)21(26)20(25)12-4-5-12)13-2-1-3-16(8-13)30-31(27
1,4
435.105,7
0,"InChI=1S/C23H25F2N3O2/c1-27(18-7-9-26-10-8-18)23(30)28-14-16(20-13-17(24)5-6-21(20)25)12-22(28)15-3-2-4-19(29)11-15/h2-6
4, molten [UN2312]  [Poison]|NCGC00091454-04|Fenosmoline|Fenosmolin|PHENOL (IARC)|PHENOL [IARC]|PHENOL (USP-RS)|PHENOL [USP-RS]|PHENOL (II)|PHENOL [II]|PHENOL (MART.)|PHENOL [MART.]|Phenol
2,"InChI=1S/C21H20F2N2O2/c22-15-6-7-18(23)17(10-15)14-9-19(13-2-1-3-16(26)8-13)25(11-14)21(27)20(24)12-4-5-12/h1-3
0,7
0,9-10
1,"InChI=1S/C21H23F3N6O2/c1-14-10-29(13-25-14)17-7-6-15(9-19(17)32-2)16-11-30(27-26-16)18-5-3-4-8-28(20(18)31)12-21(22
0,"InChI=1S/C22H18F2N6O4/c1-13-9-29(12-25-13)17-5-3-14(7-19(17)32-2)16-10-30(28-27-16)11-21(31)26-15-4-6-18-20(8-15)34-22(23
222)(H,54-57
1,19
3,15H2
0,19
1,6
0,8
0,8-10
1,19
0,14
3,8-11
2,7
CC1=CN(C=N1)C2=C(C=C(C=C2)C3=CN(N=N3)C4CC[C@H]5CCCC[C@@H]5NC4=O)OC,C23H28N6O2
0,8
570.368,3)4)8-9-38(32(30)41)20-34-15-23-10-24(16-34)12-25(11-23)17-34/h6-7
0,18-19
0,3)7-8-22-20(18)28/h5-6
2,4)5)13-14-33(29(27)36)18-22-9-7-6-8-10-22/h6-12
516.171,5
2,29)30)10-11-34(26(24)37)15-19-6-4-3-5-7-19/h3-9
0,13-15
0,17H
2,15
0,8
2,10
1,21
0,21
1,19H
0,17
502.155,5
0,12
504.246,6
2,3)4)13-14-34(29(27)37)18-22-9-7-6-8-10-22/h6-12
0,"InChI=1S/C28H40N6O2/c1-19-15-33(18-29-19)23-10-9-20(13-25(23)36-8)22-16-34(31-30-22)24-14-21(28(5
0,15
0,1H3
1,11H2
0,2
0,1H3
0,1H3
0,"InChI=1S/C17H17ClN2O/c1-17(20-16(19)8-9-21-17)14-6-2-4-12(10-14)13-5-3-7-15(18)11-13/h2-7
1,18-6-8-20(30-2)9-7-18)19-5-3-4-16(11-19)17-12-25-14-26-13-17/h3-14H
0,"InChI=1S/C18H20N2O2/c1-18(12-22-11-17(19)20-18)15-7-3-5-13(9-15)14-6-4-8-16(10-14)21-2/h3-10H
5-a]pyridin-1-amine",1
0,12H2
0,"InChI=1S/C21H20N4O/c1-26-19-7-5-17(6-8-19)21(10-9-20(22)25-21)18-4-2-3-15(11-18)16-12-23-14-24-13-16/h2-8
5-a]pyridin-1-amine",1
1,20
0,1H3
0,10-11
0,"InChI=1S/C18H20N2OS/c1-18(12-22-11-17(19)20-18)15-7-3-5-13(9-15)14-6-4-8-16(10-14)21-2/h3-10H
1,14H2
0,1H3
1,6
1,2H2
0,"InChI=1S/C18H20N2O2/c1-18(20-17(19)9-10-22-18)15-7-3-5-13(11-15)14-6-4-8-16(12-14)21-2/h3-8
0,"InChI=1S/C18H20N2OS/c1-18(20-17(19)9-10-22-18)15-7-3-5-13(11-15)14-6-4-8-16(12-14)21-2/h3-8
0,15
1,4
0,"InChI=1S/C15H16N4S/c1-15(19-14(16)5-6-20-15)13-4-2-3-11(7-13)12-8-17-10-18-9-12/h2-4
0,"InChI=1S/C18H20N2OS/c1-18(9-10-22-17(19)20-18)15-7-3-5-13(11-15)14-6-4-8-16(12-14)21-2/h3-8
1,14H2
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC,N-trimethyl-9-oxo-7-(((1-oxohexadecyl)oxy)methyl)-
 INNER SALT, powder|1-Hexadecanoyl-2-(cis-9-octadecenoyl)-sn-glycero-3-phosphocholine|Brain PC
1,111.000
33,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21)
16-tetramethyl-3-oxo-19-(prop-2-enylamino)-2-azabicyclo(16.3.1)docosa-1(21),10
16- TETRAMETHYL-3-OXO-19-(PROP-2-ENYLAMINO)-2-AZABICYCLO(16.3.1)DOCOSA- 1(21),7
36H,4
24-25,7
33,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21)
4,20
36H,4
C[C@@H]1C[C@H]([C@H]([C@@H](/C=C(/[C@H]([C@@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC,19
4,16-tetramethyl-
29,20
22-trioxo-19-(prop-2-en-1-ylamino)-2-azabicyclo[16.3.1]docosa-1(21),12
2-7H3,18-pentaen-9-yl] carbamate"
29,16-tetramethyl-3
(H2,18-pentaen-9-yl] carbamate"
26,20
29,15-tetramethyl-16
17.ALPHA.)-",7
9S,10S
8,3.700
0,4
0,20
895,5-6
0,"InChI=1S/C24H29F2NO/c1-2-3-14-27-21-12-13-22(27)16-23(15-21)28-24(17-4-8-19(25)9-5-17)18-6-10-20(26)11-7-18/h4-11
18,5-dihydro-1H-imidazol-2-ylmethyl-(4-methylphenyl)amino]phenol|Rogitine (Salt/Mix)|Spectrum_000077|3-[N-(4
"InChI=1S/C22H23F4NO2/c23-19-8-6-16(7-9-19)20(28)5-2-12-27-13-10-21(29,.alpha.
477.600,3]thiazolo[2
0,29
0,C20H23ClFNO
6-dihydro-2H-pyridine-3-carboxylate|N-Methyltetrahydropyridine-.beta.-carboxylic acid methyl ester|MLS000028840|Arecaidine methyl ester;Arecoline base;Methyl arecaidin; Methylarecaidine; NSC56321|CAS-63-75-2|CCRIS 7688|SMR000058258|EINECS 200-565-5|BRN 0123045|UNII-4ALN5933BH|Arecoline_major|Methylarecaidine|?arecoline|arecoline;hydrobromide|Spectrum_000055|N-Methyltetrahydropyridine-beta-carboxylic acid methyl ester|ARECOLINE [MI]|Prestwick0_000402|Prestwick1_000402|Prestwick2_000402|Prestwick3_000402|Spectrum2_000051|Spectrum3_001387|Spectrum4_000810|Spectrum5_001316|Lopac-A-6134|cid_9301|CHEMBL7303|Lopac0_000049|SCHEMBL44065|BSPBio_000324|BSPBio_002974|GTPL296|KBioGR_001299|KBioSS_000435|DivK1c_000810|SPBio_000201|SPBio_002263|BPBio1_000358|MEGxp0_001891|ACon1_002372|BDBM46858|KBio1_000810|KBio2_000435|KBio2_003003|KBio2_005571|KBio3_002194|pyranosyl)-?-D-galactopyranoside|NINDS_000810|WLN: T6N CUTJ A1 CVO1|NSC56321|Tox21_110079|MFCD00059167|AKOS000520752|Tox21_110079_1|CCG-204145|DB04365|SB54186|SDCCGMLS-0066647.P001|SDCCGSBI-0050038.P004|IDI1_000810|NCGC00015075-01|NCGC00015075-02|NCGC00015075-03|NCGC00015075-05|NCGC00015075-06|NCGC00015075-07|NCGC00015075-10|NCGC00015075-19|NCGC00162053-01|NCGC00162053-02|NCGC00162053-03|AC-34025|CAS-300-08-3|SBI-0050038.P003|1ST170173|Methyl N-methyl-1,5
3, 1-cyclopropyl-6-fluoro-1
0,268.350
0,0
