smiles,InChIKey
O=C(NC12CC3CC(CC(C3)C1)C2)OCCNC4CCCCC4,FBUWLBDDKJQKAL-UHFFFAOYSA-N
CC(C)CCOc1ccc(N)cc1,LXWFHMREWLOKLM-UHFFFAOYSA-N
FC(F)(F)Oc1ccc(CNC(=O)C2N(CCc3ncccn3)C(=O)c4ccccc24)cc1,MRGFDPDQMSJIJC-UHFFFAOYSA-N
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCN(CCc3ccc(F)cc3)C2,IELLGYJMVPHBIT-TZYHBYERSA-N
COc1cc(OC)c(cc1NC(=O)COCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,SJFSUWJIKIBVTD-UHFFFAOYSA-N
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCN(C2)C(=O)c3ccccc3,KEUGSWCNZKGYBC-YYWHXJBOSA-N
COc1ccc(cc1C#N)c2cc(O)nc(N)n2,PWWOJCKTCIIXAZ-UHFFFAOYSA-N
C[N+]1(C)[C@@H]2C[C@H](C[C@H]1[C@@H]3O[C@H]23)OC(=O)C(O)(c4cccs4)c5cccs5,LERNTVKEWCAPOY-DZZGSBJMSA-N
C[C@H]1CN=C(N)c2sccc2O1,TUOXPJFCQDMQOX-YFKPBYRVSA-N
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCN(CCc3ccccc3)C2,YEYRAODZSYSNEM-NYVOZVTQSA-N
COc1ccccc1c2csc(n2)n3ncc(C#N)c3N,IYNKGFHSFZKWKD-UHFFFAOYSA-N
COC[C@@H](O)CN1C(=O)C=NN(C1=O)c2ccc(Cl)c(c2)C(=O)NCC3(O)CCCCCC3,FUCKCIVGBCBZNP-INIZCTEOSA-N
CS(=O)(=O)c1ccc(c(Cl)c1)c2cc(Cl)ccc2OCC(=O)O,RRDSWNIAKIQLQS-UHFFFAOYSA-N
CC(C)C(=O)Nc1nc(cc2ccccc12)c3ccccn3,MMCKTCYZCHRPQJ-UHFFFAOYSA-N
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCN(CCCc3ccccc3)C2,CHTNLBXSBITESO-OYDLWJJNSA-N
C[C@@H](C(=O)NCCN1CCCC1)c2ccc(OS(=O)(=O)C(F)(F)F)cc2,CWPASLOMOQBICF-GFCCVEGCSA-N
Clc1ccc(CC2CCNCC2)cc1C(=O)NCC34CC5CC(CC(C5)C3)C4,VPHJZPZBRPTDJE-UHFFFAOYSA-N
Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4c(C)nn(C)c4C,SBHODUNGGJKTHR-UHFFFAOYSA-N
Oc1cccc2C(N(CCc3ncc(F)cn3)C(=O)c12)C(=O)NCc4ccc(OC(F)(F)F)cc4,LPQIVQULTGLWTO-UHFFFAOYSA-N
CC1=CN([C@H]2CCCN(Cc3ccc(C(=O)O)c(Oc4cccc(F)c4)c3)C2)C(=O)NC1=O,VKKBIMQBPPRDGK-SFHVURJKSA-N
CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(cc3C24N=C(C)C(=N4)N)c5cncc(c5)C#CC,WKDNQONLGXOZRG-HDVKRFLQSA-N
CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)c3cnc(N)c(n3)C(=O)Nc4cnccc4CN5CCCC5,XLQSAYDDCSLSMI-UHFFFAOYSA-N
O[C@@H](CNCCCSCCOCCc1cccc2ccccc12)c3ccc(O)c4NC(=O)Sc34,FAXCNWHLDSZHPC-QHCPKHFHSA-N
Clc1ccc(cc1)c2oc3C=CN(C(=O)c3c2)c4ccc5c(cnn5CCN6CCCC6)c4,FQKZCRRUEOMQOT-UHFFFAOYSA-N
CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@@H]1NCc4cc5OCCOc5cn4,XMIYZMBRDBBHKC-OFVILXPXSA-N
COc1ccc2C[C@H]3N(C)CCc4cccc(c34)c2c1O,DZUOQMBJJSBONO-CQSZACIVSA-N
Cc1[nH]c2ccc(cc2c1C)c3oc(SCC(=O)N4CCCc5ccccc45)nn3,OLZPSAROTDJSNV-UHFFFAOYSA-N
Cc1cc(OCCCS(=O)(=O)C)cc(C)c1c2cccc(COc3ccc4[C@H](CC(=O)O)COc4c3)c2,BZCALJIHZVNMGJ-HSZRJFAPSA-N
CCCCNc1nc(SCCC)nc2c1nnn2[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O,VEJDIHYHYBKHNO-OXHZDVMGSA-N
CCN(CCO)C(=O)c1cc2cccnc2n1c3cccc(c3)C(F)(F)F,OIVMROXJJVTNKU-UHFFFAOYSA-N
CC(C)CN1C(=O)N(C)C(=O)c2c1nn(Cc3cccc4ccccc34)c2c5ccncc5,NNZDBCPMOOEFTE-UHFFFAOYSA-N
COc1cc(OC)c(cc1NC(=O)Cc2ccnc(F)c2)S(=O)(=O)N3C(C)CCc4ccccc34,JZXDZIZXVVZIMA-UHFFFAOYSA-N
CC(C)c1nnc2ccc(cn12)c3ocnc3c4cc(F)ccc4F,UACOXBQBNWQWOK-UHFFFAOYSA-N
COc1ccc(NC(=O)c2ccc(C[S+](C)[O-])c3ccccc23)c(n1)C(=O)NCC4CCOCC4,RTEBTDAJVQZWBC-UHFFFAOYSA-N
OC[C@@H](NS(=O)(=O)c1ccc(Cl)s1)C(C(F)(F)F)C(F)(F)F,PSXOKXJMVRSARX-SCSAIBSYSA-N
CCOc1ncc(C)c2NC(=C([C@@H](c3ccc(cc3OC)C#N)c12)C(=O)N)C,BTBHLEZXCOBLCY-QGZVFWFLSA-N
Clc1ccc(CN2CCNCC2)cc1C(=O)NCC34CC5CC(CC(C5)C3)C4,VGXCGVFXXLXIIY-UHFFFAOYSA-N
COc1cc(OC)c(cc1NC(=O)NCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,WMUPLNKGZUYFRQ-UHFFFAOYSA-N
CO[C@H]1CN(CCN2C(=O)C=Nc3ccc(OC)cc23)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,OPFCNFCPNQBDKS-KNQAVFIVSA-N
COc1c2OC(=O)C=Cc2cc3ccoc13,QXKHYNVANLEOEG-UHFFFAOYSA-N
CC(=O)Nc1cnc2ccn(c3cc(NC4CC4)n5ncc(C#N)c5n3)c2c1,SYFFUKLBOFFLLY-UHFFFAOYSA-N
CC(C)Cc1c(C(=O)C(=O)N)c2c(OCC(=O)NS(=O)(=O)C)cccc2n1Cc3ccccc3,JCHQKTXDHCBWMH-UHFFFAOYSA-N
C[C@@](N1CCCCC1)(C(=O)O[C@H]2C[N+]3(CCOCCc4ccccc4)CCC2CC3)c5ccccc5,RUOCWECVFHBXNS-QKZQWPARSA-N
CCNC(=O)C[C@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,AAAQFGUYHFJNHI-GOSISDBHSA-N
C[C@H](Nc1nc(Nc2ncc(C)s2)c(F)c(n1)N3CCOCC3)c4ncc(F)cn4,NOLJFJNOWXBGKG-NSHDSACASA-N
CC(=O)Nc1ccc2ccn(c3cc(NCCCN4CCCC4)n5ncc(C#N)c5n3)c2c1,CBGDEHATHAAROF-UHFFFAOYSA-N
COc1ccc(cc1)c2cc(N)n3ncc(C#N)c3n2,QHSBQHSGTFDHBA-UHFFFAOYSA-N
Oc1c(C#N)c(nc2ccncc12)c3ccc(cc3)c4ccccc4OCC#N,LCRSGOMGZKBIGH-UHFFFAOYSA-N
Clc1cccc(CN2C=CN3C(=O)C=C(N=C23)N4CCOCC4)c1Cl,YGCPMTVIAJZRNZ-UHFFFAOYSA-N
CCOc1cc2nnc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1N4CCN(C)CC4,RFGZHWGKKIBYCG-UHFFFAOYSA-N
NC(=O)c1cnc(N[C@H]2CCCNC2)c3cc(sc13)c4ccc(F)c(F)c4,GTJMIQXXZXFGFE-NSHDSACASA-N
COc1cc2nnc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1OC,JVOYTBSMGKEAKW-UHFFFAOYSA-N
C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc3NC(=O)C(=Cc13)C#N,LSSRJFFDFHBKHW-SECBINFHSA-N
CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(CCOC)CC4,YQJPMDHVMJQUKV-UHFFFAOYSA-N
CN1CCC[C@@H]1Cc2c[nH]c3ccc(Nc4ncccc4[N+](=O)[O-])cc23,YPFIYPNOWVPAPR-OAHLLOKOSA-N
CNCCCC12CCC(c3ccccc13)c4ccccc24,QSLMDECMDJKHMQ-UHFFFAOYSA-N
CC(C)(Oc1ccc(cc1)C(=O)c2ccc(Cl)cc2)C(=O)O,MQOBSOSZFYZQOK-UHFFFAOYSA-N
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(C)s3,PZWWCIFJQKDZMU-UHFFFAOYSA-N
C[C@H](NC(=O)c1c(C)nn(C2CCSCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,CMBDQWHWALXRNJ-KRWDZBQOSA-N
CCCCN(CCNCCc1ccc(O)c2NC(=O)Sc12)C(=O)CCOCCc3ccccc3,HYUZZQZAVMPKLP-UHFFFAOYSA-N
C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(F)cc1C#N)c3ccc(F)cn3,HIHOEGPXVVKJPP-JTQLQIEISA-N
NC(=O)c1cnc(N[C@H]2CCCNC2)c3cc(Br)sc13,QBQVOHINGWVRAQ-ZETCQYMHSA-N
CC(=O)Nc1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,RMBHIVQOFNFWFU-UHFFFAOYSA-N
CNc1c(Br)cnc2[nH]c(nc12)c3cnn(c3)C4CCN(C)CC4,MERPPDGMBNDZGS-UHFFFAOYSA-N
CN(C)CCC1CCN(CC1)c2cc(C(=O)NC[C@@H]3CC[C@@H](CNC(=O)OC4CCOCC4)CC3)c5ccccc5n2,CMBXCQWAQLETTR-DIVCQZSQSA-N
O[C@H](CNC(=O)C1=CNC(=O)c2cc(ccc12)S(=O)(=O)N3CCC3)CN4CCC(CC4)Oc5ccc(Cl)c(Cl)c5,NZFSPDVTABQASR-QGZVFWFLSA-N
C[C@@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3)C(C)(C)C,MYHHDENZOVCZAX-GOSISDBHSA-N
COc1ccc2ncc(F)c(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1,PLGWYGPUULYMBF-UHFFFAOYSA-N
CCS(=O)(=O)c1ccc(c(F)c1)c2cc(Cl)ccc2OCC(=O)O,MNOSYFBXUCZGCA-UHFFFAOYSA-N
C[C@@](N1CCCCC1)(C(=O)O[C@H]2C[N+]3(CCc4ccccc4F)CCC2CC3)c5ccccc5,OMGBLXWNGZEFEP-NNMXADRKSA-N
Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4ccccn4,GWEVEYFNCPGBAA-UHFFFAOYSA-N
COc1ccc(cc1)c2nc3cc(ccc3[nH]2)C4=NNC(=O)CC4C,GLBJJMFZWDBELO-UHFFFAOYSA-N
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)NS(=O)(=O)C)CC3,HVPWRRGQIWGFTH-WKILWMFISA-N
CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(cc2)C(F)(F)F)C1)C(C)(C)C,ALFIBOPSIAUNIQ-FFZOFVMBSA-N
CC(C)(C)NC(=O)NCCN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)C1,WGDQLOTYIWHCHS-UHFFFAOYSA-N
C[C@@H](NC(=O)C)c1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,FSHWAYWSRSSJNF-OAHLLOKOSA-N
CC(C)(C)NS(=O)(=O)c1cncc(c1)c2ccc3nc(NC(=O)NCC(=O)N4CCCC4)nn3c2,PVOKBUZWKYUCKF-UHFFFAOYSA-N
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCN(CCc3ccccc3)C2,BLJRIUMEKILZNZ-VJBMBRPKSA-N
COc1cnc(nc1N(C)C)c2ccccn2,HHWOVFWQFLUAJI-UHFFFAOYSA-N
COc1cc(NC(=O)Nc2cccc(CNC(=O)O[C@H]3CCOC3)c2)ccc1c4ocnc4,JBPUGFODGPKTDW-SFHVURJKSA-N
OC(=O)COc1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,AEWQIKDEAWAPPV-UHFFFAOYSA-N
COc1cc2nnc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1OC,FHEAXJUHMRSPKJ-UHFFFAOYSA-N
CS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(C#N)c(Cl)c4,MBMAQWYADJFPMU-QGZVFWFLSA-N
OC(=O)[C@@H](Cc1ccccc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,YDRCHQQFHSPVMO-RUZDIDTESA-N
CCOc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCCN(C)CC4,CEGMRCDIICJVRP-UHFFFAOYSA-N
CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5ccc(cc5)C#N)ccc4C,SIIRMPMJLBEIDY-UHFFFAOYSA-N
CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C,BUHNODQEWUMKMH-UHFFFAOYSA-N
CCOc1cc(CN2CCC(CC2)Nc3oc4ccc(cc4n3)S(=O)(=O)N)cc(OCC)c1N,OFGZKSUTEKHHAS-UHFFFAOYSA-N
CC(C)N1CCC(CC1)N(C(=O)Cc2ccccc2)c3ccc(Cl)cc3,XHOJAWVAWFHGHL-UHFFFAOYSA-N
C[C@H](Nc1cncc(Nc2ncc(C)s2)n1)c3ncc(F)cn3,LPLPZSMLCGODQL-VIFPVBQESA-N
CN1C=C(C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)C(=CC1=O)C(F)(F)F,FLTAIVXWWOKLBO-CYBMUJFWSA-N
C[C@H](Nc1nc(Nc2cc([nH]n2)C3CC3)cnc1C#N)c4ccc(F)cn4,XRMZZVRXPFSXIR-JTQLQIEISA-N
CC(C)(C)OC(=O)NCCCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23,JTAHEIJADDRTHP-XNIJJKJLSA-N
CC(C)(C)OC(=O)NC[C@@H]1CC[C@@H](CNC(=O)c2cc(nc3ccccc23)N4CCC(CCO)CC4)CC1,OLBKJJAKKDUVSP-YHBQERECSA-N
Cc1nn(C)c(C)c1c2ccc(cc2)c3nc4ccncc4c(O)c3C#N,BFGMQGPZOKNHIO-UHFFFAOYSA-N
CCN(CC)S(=O)(=O)c1ccc(cc1)c2oc(SCC(=O)N3CCc4ccccc34)nn2,SNOGKFRNPQRXAJ-UHFFFAOYSA-N
COc1cc(OC)c(cc1NC(=S)NCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,UKDSSZLSAYKMKY-UHFFFAOYSA-N
CCOc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCOCC4,FPNHVYHHWJFIGL-UHFFFAOYSA-N
Cc1cc(nn1C[C@H](O)CN)c2ccc(Cl)c(c2)C(=O)NCC3(O)CCCCCC3,YZDZFELRGNTLSQ-QGZVFWFLSA-N
N(c1cccnc1)c2ncc(c3ccncn3)c(n2)c4occc4,YRPIMMMBNUUYLG-UHFFFAOYSA-N
CCC(=O)N1CCN(CC1)C(=O)c2cc(CC3=NNC(=O)c4ccccc34)ccc2F,IBNIZTOVOPEHQA-UHFFFAOYSA-N
Cc1ccc(cc1)S(=O)(=O)NCCSc2nnnn2c3ccc(cc3)C(=O)N,HMIZSIKUJOVCHB-UHFFFAOYSA-N
Cc1nccn1c2ccc(COc3cc(F)cc(c3)C4(CCOCC4)C(=O)N)cc2,WOTAALFHBLLBGH-UHFFFAOYSA-N
COc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,IGDZHDGNJOJQBX-UHFFFAOYSA-N
COc1cc(OC)c2nc(C)c3CCN(c4ccc(O)cc4)c3c2c1,NPQZNMPPUASIAY-UHFFFAOYSA-N
CCN1CCC[C@H]1CNC(=O)c2c(O)c(Cl)cc(Cl)c2OC,WAOQONBSWFLFPE-VIFPVBQESA-N
CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3cccc(Oc4ccccc4)c3)C(=O)NC1=O,KEUUAZUMWNDMRG-KRWDZBQOSA-N
C1COc2c(O1)cccc2N3CCN(CC3)C4Cc5ccccc5C4,QJPPEMXOOWNICQ-UHFFFAOYSA-N
Fc1ccc(cc1)C(=O)C2CCN(CCN3C(=O)Nc4ccccc4C3=O)CC2,FPCCSQOGAWCVBH-UHFFFAOYSA-N
COc1ccc(OC)c(c1)C(O)CN,VFRCNXKYZVQYLX-UHFFFAOYSA-N
COc1ccc2C(=NC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1)C,WPLIOUGEFJMVJY-UHFFFAOYSA-N
CSCCC(NC(=O)c1cnccn1)c2nc3ccccc3[nH]2,VZHKXQQVXCNJAM-UHFFFAOYSA-N
CC(C)(C)OC(=O)NC[C@@H]1CC[C@@H](CNC(=O)c2cc(nc3ccccc23)N4CCC(CCN5CC(O)C5)CC4)CC1,DLXYCZXEBQOCAR-SOAUALDESA-N
Cc1cccc(C(=O)N)c1NC(=O)c2ccccc2,OKKDRJRENIHJDI-UHFFFAOYSA-N
C1Cc2ccccc2CN1c3ccncc3,CIOBWNSCGKJAQU-UHFFFAOYSA-N
COc1cc2N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)C(=O)C=Cc2cn1,HPIXUGIAVZJDSY-UHFFFAOYSA-N
CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(CC4)C(=O)CO,LUWHPRBEIMOWQZ-UHFFFAOYSA-N
COc1ccc(CCC[N+](C)(CCCc2ccc(OC)cc2)CCNC(=O)c3nc(Cl)c(N)nc3N)cc1,YHZPNIXPVVDIGB-UHFFFAOYSA-O
C[C@H]1CN(CCO1)C2=NC(=O)NC(=C2)N(CCO)Cc3cccc4ccccc34,KXFCSDGILURUCG-INIZCTEOSA-N
CC(C)(C)NCC(O)COc1nsnc1N2CCOCC2,BLJRIMJGRPQVNF-UHFFFAOYSA-N
NCC[C@@H](Sc1cc(Cl)ccc1C#N)c2ccccc2,OLZXHHOEVBLJLQ-OAHLLOKOSA-N
CCS(=O)(=O)c1ccc(cc1)c2cc(Cl)ccc2OCC(=O)O,MREHKHMPXVGCAP-UHFFFAOYSA-N
C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c3ccccc3,OVNWHOGUZJEKAS-HNNXBMFYSA-N
Clc1ccc(cc1)c2oc(cc2)C(=O)Nc3ccc(cc3)N4CCNCC4,CAIGVNVLJGDZSF-UHFFFAOYSA-N
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCN(C2)C(=O)c3ccccc3,UNVXHOVOKUNSOF-VDGAXYAQSA-N
O=C(CN1CCCCCC1)N2c3ccccc3Sc4ccccc24,AFMMLOHZMBEPQA-UHFFFAOYSA-N
Clc1ccccc1CCNC(=O)c2cc(ccc2Cl)N3N=CC(=O)NC3=O,KTRDEDJKFRJUOH-UHFFFAOYSA-N
C(CN1CCCC1)Oc2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2,MMCSQTPDMRNXRC-UHFFFAOYSA-N
C[C@@H]1CNc2c(sc3ccc4nc(ccc4c23)c5ccc(C)nc5)C(=O)N1,CMWRPDHVGMHLSZ-GFCCVEGCSA-N
C[C@H](CO)Nc1nc(SCc2occc2)nc3nc(N)sc13,JOFFESJQUJHGCW-SSDOTTSWSA-N
C[C@@](N1CCCCC1)(C(=O)O[C@H]2C[N+]3(CC(=O)Nc4ccccn4)CCC2CC3)c5ccccc5,BKNNXJKQQWVAHA-JSZRZZSISA-O
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCN(CCCc3ccccc3)C2,DIEJGYBAQUPLIL-VJBMBRPKSA-N
C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)nc(OC(C4CC4)C(F)(F)F)nc23,WCCXSIPIPFVPLO-JNCSJYHUSA-N
CNC(=O)c1[nH]cnc1C(=O)Nc2ccc(OC)cc2,ZLNXQUVLYNVOLC-UHFFFAOYSA-N
Clc1ccccc1CNC(=O)c2cccnc2Oc3ccccc3,SALFYSVZWBAPFL-UHFFFAOYSA-N
COCCC(C)n1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c2ccc(C)cc2,DXBACYJYMPQCGY-DAFXYXGESA-N
CS(=O)(=O)c1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,ZKUCQWGFICXSOS-UHFFFAOYSA-N
Cc1ccc(cc1)S(=O)(=O)Nc2c(C(=O)NC3CCOCC3)c(C)nn2c4ccccc4,QYEMDTRCNOFDPK-UHFFFAOYSA-N
NC(=O)c1cnc(N[C@H]2CCCNC2)c3cc(sc13)c4ccc(F)cc4,KAMUHXLQJMLNMI-ZDUSSCGKSA-N
CNC(=O)c1snnc1c2ccccc2,JWZDFTGTHXYIRY-UHFFFAOYSA-N
CNc1nc2ccccc2n1Cc3sc4N(CC(C)C)C(=O)N(C)C(=O)c4c3C(=O)N5C[C@H](O)CO5,RBMGZPYCDQPSLS-AWEZNQCLSA-N
Clc1ccc(cc1)S(=O)(=O)C2=CC3=C(N=C4C=CC=CN4C3=O)N(C5CCCC5)C2=N,IXYQZWSVTZEBOO-UHFFFAOYSA-N
CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3c(C)n[nH]c3C)c2C(=O)N4C[C@H](O)CO4,ISIVOJWVBJIOFM-ZDUSSCGKSA-N
CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4cc5OCCOc5cn4,XMIYZMBRDBBHKC-BWKNWUBXSA-N
OCCNS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,YEGSREZTMOWGTG-MRXNPFEDSA-N
