CCN(CC)c1ccc(NC(=O)C2CCc3cccc(OC)c3C2N(C)C(=O)OCC(C)C)cc1,OIDBKVMEVCCZHO-UHFFFAOYSA-N
O=C(Cc1ccc(F)cc1)NC1CCN(CCC(NC(=O)C2CCC2)c2ccccc2)CC1,YQOKDKXYGHIVEJ-UHFFFAOYSA-N
O=C1Nc2ccccc2C1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,HMMQYWRYNZBDAE-UHFFFAOYSA-N
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,WPSYTTKBGAZSCX-UHFFFAOYSA-N
COc1ccc(CCN(C)CCCNc2c(Cl)cn[nH]c2=O)cc1OC,UUMQGMCYAJYYQR-UHFFFAOYSA-N
COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,PJWPNDMDCLXCOM-UHFFFAOYSA-N
CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,YPELFRMCRYSPKZ-UHFFFAOYSA-N
O=C(NC(CCN1CCC(c2noc(Cc3ccccc3)n2)CC1)c1ccccc1)C1CCC1,WJRHWKLKYSTKDD-UHFFFAOYSA-N
O=C(NC(CCN1CCC(n2cnc(Cc3ccccc3)n2)CC1)c1ccccc1)C1CCC1,HJIFNRLOZKIKIM-UHFFFAOYSA-N
CCN(CC)CCCN(c1ccccc1)C1CCc2ccccc21,QPDDLDVIOXVJFH-UHFFFAOYSA-N
smiles,"Error: Python argument types in
    rdkit.Chem.rdinchi.MolToInchiKey(NoneType, str)
did not match C++ signature:
    MolToInchiKey(RDKit::ROMol mol, char const* options='')"
O=C(CCC[N+]1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,ICMLRJJLJVVQGT-UHFFFAOYSA-N
CCC[N+]1C[C@H](CSC)C[C@@H]2c3cccc4c3C(C=N4)C[C@H]21,BLUAASNRIJJGKL-RILYDNKNSA-N
CC(C)(C)c1ccc(C(=O)CCC[N+]2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,YPYUSOLNFCETJV-UHFFFAOYSA-N
CC(C)COC[C@@H](CN(Cc1ccccc1)c1ccccc1)[N+]1CCCC1,FLEJZHACHXCVCS-XMMPIXPASA-N
C[N+]1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,ZVPJDRRWMYGYKM-SPUOUPEWSA-N
C=C[C@H]1C[N+]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,LCZKRPAXTKFXKO-LHHVKLHASA-N
C[N+]1CC[N+](CCCCN2C(=O)CN(N=Cc3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,LMNFBJVBICKILT-UHFFFAOYSA-N
C[N+](C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,MOFWZSVBZGBGFQ-UHFFFAOYSA-N
CCC(=O)N(c1ccccc1)C1CC[N+](CCc2ccccc2)CC1,KZTVAPPFRZPMJA-UHFFFAOYSA-N
O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCC[N+]1,BQMMQFOHWIHDTD-DOMZBBRYSA-N
C[N+](C)CCCN1c2ccccc2CCc2ccccc21,HIXALNPAFJLRHJ-UHFFFAOYSA-N
Nc1ccc(C(=O)N2C[C@H]3C[C@@H](C2)C[N+](Cc2ccccc2)C3)cc1,XBGFKODAWDCQAV-HDICACEKSA-N
O=C(NCC1CCCC[N+]1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,GBAGMXIXQLFBJR-UHFFFAOYSA-N
O=C(OC1C[C@@H]2CC3C[C@H](C1)[N+]2CC3=O)C1=c2ccccc2=NC1,HQAFUFZLXKZIGD-AKJUYKBHSA-N
C[N+](C)CCC=C1c2ccccc2CCc2ccccc21,JXLMVGKHSLKZFN-UHFFFAOYSA-N
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,APIXJSLKIYYUKG-UHFFFAOYSA-N
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,RXZBMPWDPOLZGW-HITVVWEBSA-O
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C([N+](C)C)C1O,RZNZEVDHFNSYRY-UHFFFAOYSA-N
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)[N+](C)CC[C@]314,VCCSMQYVCLBXKP-DNJOTXNNSA-N
C[N+]1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,HLAMSGVXOYCOKP-KBQPJGBKSA-N
Cc1cccc(C[N+]2CC[N+](C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,NAFMUOOEFOMDBH-UHFFFAOYSA-N
CCCC(=O)Nc1ccc(OCC(O)C[N+]C(C)C)c(C(C)=O)c1,PQIAXYKYABEFTH-UHFFFAOYSA-N
CC(=O)Nc1nnc(S(N)(=O)=O)s1,BZKPWHYZMXOIDC-UHFFFAOYSA-N
CC(=O)Oc1ccccc1C(=O)[O-],BSYNRYMUTXBXSQ-UHFFFAOYSA-M
COc1cc(C)c(/C=C\C(C)=C\C=C/C(C)=C/C(=O)[O-])c(C)c1C,IHUNBGSDBOWDMA-STTAGXNUSA-M
Cc1ccc(/C(=C/C[N+]2CCCC2)c2cccc(/C=C\C(=O)[O-])n2)cc1,VLNVGIHUKGLXON-WKLWQRMESA-M
Nc1nc(=O)c2ncn(COCCO)c2[nH]1,MKUXAQIIEYXACX-UHFFFAOYSA-N
NC1=N[C@@]2(CO1)c3cc(ccc3Oc4c(F)nc(cc24)C5=CCCOC5)c6ncccc6F,HGRWHBQLRXWSLV-DEOSSOPVSA-N
Oc1ccc(\C=C(/C#N)\C(=O)NCCCc2ccccc2)cc1O,GSQOBTOAOGXIFL-LFIBNONCSA-N
CCCN(CCC)[C@@H](C1)CCc(c12)cccc2O,ASXGJMSKWNBENU-CQSZACIVSA-N
COCCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OC(C)C)C,UIAGMCDKSXEBJQ-UHFFFAOYSA-N
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,RZXIRSKYBISPGF-UHFFFAOYSA-N
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(=O)C5(Cl)C(Cl)(C1(Cl)C35Cl)C24Cl,LHHGDZSESBACKH-UHFFFAOYSA-N
NC1=NC2=C(N=CC(=O)N2)C(=O)N1,GLKCOBIIZKYKFN-UHFFFAOYSA-N
c1cccc(c12)cnnc2NN,RPTUSVTUFVMDQK-UHFFFAOYSA-N
CN(C)CCC=C1c2ccccc2CCc3ccccc13,KRMDCWKBEZIMAB-UHFFFAOYSA-N
CCN1CCN(CC1)c2nc(C)nc(c23)n(C)c(n3)-c4c(Cl)cccc4,UMDBIKLFXMBCMH-UHFFFAOYSA-N
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,YVGGHNCTFXOJCH-UHFFFAOYSA-N
Oc1c(Br)cc(\C=C\2/C(=O)Nc3ccc(I)cc23)cc1Br,LMXYVLFTZRPNRV-KMKOMSMNSA-N
Fc1cccc(c1)S(=O)(=O)N2CCC(CCc3ccc(F)cc3F)CC2,GDWBWUCRKAYOMD-UHFFFAOYSA-N
OC1(CCc2ccc(F)cc2F)CCN(CC1)S(=O)(=O)c3ccc(F)cc3,XWWMSPYJKMBSOT-UHFFFAOYSA-N
smiles,"Error: Python argument types in
    rdkit.Chem.rdinchi.MolToInchiKey(NoneType, str)
did not match C++ signature:
    MolToInchiKey(RDKit::ROMol mol, char const* options='')"
Cn1nc(N)c2cn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c3ncnc1c23,URLYINUFLXOMHP-HTVVRFAVSA-N
CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,XUZMWHLSFXCVMG-UHFFFAOYSA-N
COCCNCCCn1c(C(=O)CF)c(-c2ccc(C)cc2)c2c(N)ncnc21,UPTQGXMIZXGVSC-UHFFFAOYSA-N
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)cc2F)n1,OOGMREBBHKGEMT-UHFFFAOYSA-N
COc1cc(CCc2cc(NC(=O)c3ccc(N4C[C@H](C)N[C@H](C)C4)cc3)n[nH]2)cc(OC)c1,VRQMAABPASPXMW-HDICACEKSA-N
COc1ccc(-c2ccc3ncc4c(c3c2)n(-c2ccc(N3CCNCC3)c(C(F)(F)F)c2)c(=O)n4C)cn1,BMMXYEBLEBULND-UHFFFAOYSA-N
CC(=O)ONc1c(C2=c3ccc(Br)cc3=NC2=O)[nH]c2ccccc12,PFVOTYWMUVXTAZ-UHFFFAOYSA-N
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,ZAJXXUDARPGGOC-UHFFFAOYSA-N
c1ccc(-c2oc3ncnc(NC[C@@H]4CCCO4)c3c2-c2ccccc2)cc1,XNFHHOXCDUAYSR-SFHVURJKSA-N
CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,KSGXQBZTULBEEQ-UHFFFAOYSA-N
CC(C)C[C@H](NC(=O)c1cc2ccccc2s1)C(=O)N1CCN(C(=O)[C@H](CO)NS(=O)(=O)c2ccc(Cl)cc2Cl)CC1,IVYQPSHHYIAUFO-VXKWHMMOSA-N
CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,PBBGSZCBWVPOOL-UHFFFAOYSA-N
CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@@]21C,KQJSQWZMSAGSHN-JJWQIEBTSA-N
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,GZOSMCIZMLWJML-VJLLXTKPSA-N
O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,DRTQHJPVMGBUCF-XVFCMESISA-N
CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,NDAZATDQFDPQBD-UHFFFAOYSA-N
C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)N[C@H](C(=O)OC(C)(C)C)c1ccccc1,DWJXYEABWRJFSP-XOBRGWDASA-N
COc1ccc(-n2c(C)c([N+](=O)[O-])c3ccc(O)cc32)cc1,VVZNWYXIOADGSW-UHFFFAOYSA-N
CCOc1cc(C(=O)Nc2ccc(Cl)c(-c3nc4ccccc4[nH]3)c2)cc(OCC)c1OCC,VQOJFGFKIVFMDH-UHFFFAOYSA-N
COc1cc2nc(-c3ccc(N4CCN(C)CC4)cc3)nc(NCCN3CCOCC3)c2cc1OC,TUOZJWZCVIRDKO-UHFFFAOYSA-N
CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,VAARYSWULJUGST-UHFFFAOYSA-N
CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc21,PKXWXXPNHIWQHW-RCBQFDQVSA-N
CCC(=O)OC1CCC2C3CCC4=CC(=O)CC[C@@]4(C)C3CC[C@]12C,PDMMFKSKQVNJMI-OKDUPOICSA-N
CC(C)(C)NC(=O)Nc1cccc(Nc2ncc(F)c(NC(C)(C)CO)n2)c1,DYNMZYFOSRSMAC-UHFFFAOYSA-N
CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,RITAVMQDGBJQJZ-UHFFFAOYSA-N
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC,YJGVMLPVUAXIQN-HAEOHBJNSA-N
CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1,USRHYDPUVLEVMC-FQEVSTJZSA-N
O=C(CCCN1CCN(c2ccc(F)cc2)CC1)NC1c2ccccc2CSc2ccccc21,WFNRNNUZFPVBSM-UHFFFAOYSA-N
Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1,WUTVMXLIGHTZJC-OAQYLSRUSA-N
Cc1ccc(C=NNC(=O)c2ccccc2Oc2ccccc2)o1,JJEDWBQZCRESJL-UHFFFAOYSA-N
CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCC(N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C,SXNJFOWDRLKDSF-XKHVUIRMSA-N
C=CC(=O)N1CCc2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnn(C)c6)cc5c43)cc21,RTRNJQOBEOISFQ-UHFFFAOYSA-N
Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,XVECMUKVOMUNLE-UHFFFAOYSA-N
O=C(O)c1ccc(O)c2ncc(N3CCOCC3)cc12,XYBGOSXCBPMITI-UHFFFAOYSA-N
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,MXAYKZJJDUDWDS-LBPRGKRZSA-N
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,SPMVMDHWKHCIDT-UHFFFAOYSA-N
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,LZCDAPDGXCYOEH-UHFFFAOYSA-N
N#CC1(c2cccc(C(=O)Nc3cc(Oc4ccc5nc(NC(=O)C6CC6)sc5n4)ccc3F)c2Cl)CC1,MDPMAXSABUPRJI-UHFFFAOYSA-N
N#CNC(=Nc1ccncc1)NCCCCCCOc1ccc(Cl)cc1,BOIPLTNGIAPDBY-UHFFFAOYSA-N
CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,IFPPYSWJNWHOLQ-UHFFFAOYSA-N
COc1ccc(-c2oc3c(CC=C(C)C)c(O)cc(O)c3c(=O)c2O)cc1,TUUXBSASAQJECY-UHFFFAOYSA-N
C[C@@]12O[C@@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,UIARLYUEJFELEN-IMDCKVJKSA-N
CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,ZYQXEVJIFYIBHZ-UHFFFAOYSA-N
C[C@H](CCC(=O)O)[C@H]1CCC2C3C[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)C3CC[C@@]21C,DGABKXLVXPYZII-PIJIUZIXSA-N
Cc1cc(-c2ncc(CC(=O)Nc3ccc(-c4cnccn4)cn3)cc2C)ccn1,XXYGTCZJJLTAGH-UHFFFAOYSA-N
Cc1ccccc1-n1c(Cn2nc(-c3cccc(O)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O,WFSLJOPRIJSOJR-UHFFFAOYSA-N
CC(C)(OCc1nn(Cc2ccccc2)c2ccccc12)C(=O)O,MTHORRSSURHQPZ-UHFFFAOYSA-N
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,KGPGFQWBCSZGEL-ZDUSSCGKSA-N
O=c1cc(CN2CCOCC2)occ1OCCCCCSc1ccnc2cc(C(F)(F)F)ccc12,MIDUFIRTIFUTQA-UHFFFAOYSA-N
O=C(Nc1nc2ccccc2n1CCN1CCOCC1)c1cccc([N+](=O)[O-])c1,QTCFYQHZJIIHBS-UHFFFAOYSA-N
Cc1cc(Cl)ccc1OCCCC(=O)NO,JHSXDAWGLCZYSM-UHFFFAOYSA-N
OC1CCC(Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@@H]4CCOC4)c3n2)CC1,IBGLGMOPHJQDJB-ROKHWSDSSA-N
CC(C)(O)Cn1c(NC(=O)c2ccc(-c3cn[nH]c3)s2)nc2cc(CN3CCOCC3)ccc21,PRGUDNWYEAHEQM-UHFFFAOYSA-N
O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1,LOLPPWBBNUVNQZ-UHFFFAOYSA-N
COc1cc2c(Oc3ccc(-c4cnc(Nc5ccc(F)cc5)n(C)c4=O)cc3F)ccnc2cc1OCCCN1CCOCC1,ONSZEUCTVQJHOZ-UHFFFAOYSA-N
COc1cc2ncnc(Nc3cc(Br)c(O)c(Br)c3)c2cc1OC,YVCXQRVVNQMZEI-UHFFFAOYSA-N
COc1c(OCCCN2CCOCC2)ccc2c3n(c(=NC(=O)c4cnc(N)nc4)nc12)CCN3,MWYDSXOGIBMAET-UHFFFAOYSA-N
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,INJUVNWOFHYUIN-UHFFFAOYSA-N
CC(C)C[C@@H](N)[C@H](O)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)O)C(C)C)C(C)C,QFAADIRHLBXJJS-ZAZJUGBXSA-N
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,NTJOBXMMWNYJFB-UHFFFAOYSA-N
COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC,JSKUWFIZUALZLX-UHFFFAOYSA-N
Cn1cc(C=CC(=O)c2cccc(F)c2)cc1C=CC(=O)NO,QRDAPCMJAOQZSU-UHFFFAOYSA-N
COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1,SBPRIAGPYFYCRT-UHFFFAOYSA-N
O=C(CCCCCCC(=O)Nc1cccnc1)NO,PTJGLFIIZFVFJV-UHFFFAOYSA-N
C[C@@]1(CO)CN(c2cc(C(=O)Nc3ccc4c(c3)-c3c(c(C(N)=O)nn3-c3ccc(F)cc3)CC4)c(Cl)cn2)C[C@]1(C)CO,JUOWWGNRWRLBSV-MEKGRNQZSA-N
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=CCC[C@@]1(C)O[C@H]21,KTEXNACQROZXEV-RMRHIDDWSA-N
COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc2c(n1)n(C1CCCC1)c(=O)n2C,YUKWVHPTFRQHMF-UHFFFAOYSA-N
CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C=C(C)C4=Cc5c(cnn5-c5ccccc5)C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,RKHQGWMMUURILY-UHRZLXHJSA-N
COCC1(CO)C(=O)C2CCN1CC2,BGBNULCRKBVAKL-UHFFFAOYSA-N
c1ccc(-c2nn3c(c2-c2ccnc4cc(OCCN5CCOCC5)ccc24)CCC3)nc1,IHLVSLOZUHKNMQ-UHFFFAOYSA-N
CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,KXNPVXPOPUZYGB-IOVMHBDKSA-N
CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,MZDKLVOWGIOKTN-UHFFFAOYSA-N
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(C(C)(C)C)n1,HBPXWEPKNBHKAX-NSHDSACASA-N
Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2)c1,UFICVEHDQUKCEA-UHFFFAOYSA-N
CC(=O)NC(CS)C(=O)O,PWKSKIMOESPYIA-UHFFFAOYSA-N
CC[C@H](C)n1cc(C)c2c(C(=O)NCc3c(C)cc(C)[nH]c3=O)cc(-c3ccc(N4CCNCC4)nc3)cc21,FKSFKBQGSFSOSM-QFIPXVFZSA-N
Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)n[nH]1,PDOQBOJDRPLBQU-QMMMGPOBSA-N
CN(C(=O)c1ccc(F)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1,SZBGQDXLNMELTB-UHFFFAOYSA-N
O=C(c1ccc(C=Cc2n[nH]c3ccccc23)cc1)N1CCNCC1,YYLKKYCXAOBSRM-UHFFFAOYSA-N
CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(Cl)cnc3[nH]2)cc1,QYKHWEFPFAGNEV-UHFFFAOYSA-N
C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F,ZHJGWYRLJUCMRT-QGZVFWFLSA-N
Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,TUVCWJQQGGETHL-UHFFFAOYSA-N
CN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC(=O)C5CC5)ncn4)cc3)cc2C(F)(F)F)CC1,KIKOYRNAERIVSJ-UHFFFAOYSA-N
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,LIRYPHYGHXZJBZ-UHFFFAOYSA-N
CO[C@H]1C=CC=C(C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)C=C(C)[C@@H]1OC(N)=O)C2=O,KUFRQPKVAWMTJO-LVKYINPESA-N
O=C(NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1)c1ccc(Cl)cc1,JFUIMTGOQCQTPF-UHFFFAOYSA-N
O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,FGTCROZDHDSNIO-UHFFFAOYSA-N
Cc1ccn(-c2ccc(-c3ncco3)cc2)c(=O)c1-c1ccc2nc(N)ncc2c1,IGFSMGCBFTXTJK-UHFFFAOYSA-N
CCNC(=O)c1cc2c(-c3cc(OCCN4CCCC4)c(Cl)cc3Cl)nc(N)nc2s1,WJUNQSYQHHIVFX-UHFFFAOYSA-N
