smiles,X10,X20,X40,X60,X80,X100,InChIKey
Clc1cc2c(n(cc2C=2CC[NH+](CC=2)CCN2CCNC2=O)-c2ccc(F)cc2)cc1,1,1.0,1.0,1.0,1.0,1.0,PFOLMILRZUSKJO-UHFFFAOYSA-O
Clc1ccc(o1)CNCCOc1ccc2c(c1Cl)cccc2,1,1.0,1.0,1.0,1.0,1.0,JNAZBAOZJHRDCG-UHFFFAOYSA-N
Clc1cccc(c1N1C(=O)NCc2c1nc(NCC(C)(C)C)nc2c1ccccc1Cl)Cl,1,1.0,1.0,1.0,1.0,1.0,GQSHMOXUVVFBPL-UHFFFAOYSA-N
CN(C)[C@H]1CC[C@@H](CC1)c2ccc(cc2)OCCCN3CCCCC3,1,1.0,1.0,1.0,1.0,1.0,NBCFVKKQKAXINS-XUTJKUGGSA-N
CN(C)C(=N)c4ccc(C(=O)Nc2ccc(SCC(=O)N1CCCCC1)cc2C(=O)Nc3ccc(Cl)cn3)cc4,1,1.0,1.0,1.0,1.0,1.0,KOYUZYAZOPOJGS-UHFFFAOYSA-N
CN(C)C(=N)c4ccc(C(=O)Nc2ccc(SCC(=O)N1CCN(C(=O)OC(C)(C)C)CC1)cc2C(=O)Nc3ccc(Cl)cn3)cc4,1,1.0,1.0,1.0,1.0,1.0,UMLCYUBVXFSOET-UHFFFAOYSA-N
CN(C)Cc2cc(OCCCCN1CCCCC1)ccc2Nc3ncnc4ccccc34,1,1.0,1.0,1.0,1.0,1.0,CJYFTLDCHCNKOV-UHFFFAOYSA-N
CN(C)Cc4ccc3C[C@@H](N(C)C(=O)c2ccc(c1ccc(F)cc1)nc2)CCc3c4,1,1.0,1.0,1.0,1.0,1.0,ONJIDPSNVZIKJS-DEOSSOPVSA-N
CN(CCOc1nc2c(c(n1)c1ccccc1Cl)CNC(=O)N2c1c(Cl)cccc1Cl)C,1,1.0,1.0,1.0,1.0,1.0,XOFKBZXMDGGJMM-UHFFFAOYSA-N
Cn1c(CCCCCN2CC3[C@@](C2)(C3)c2ccc(cc2)C(F)(F)F)nnc1c1scnc1C,1,1.0,1.0,1.0,1.0,1.0,LECDHJJUFHCTDQ-LEQGEALCSA-N
Cn1c(nc2cc(ccc12)C(F)(F)F)N(Cc3ccc(cc3)C(=O)Nc4nnn[nH]4)[C@H]5CC[C@@H](CC5)C(C)(C)C,1,1.0,1.0,1.0,1.0,1.0,WSMJMACKNHBKSD-XUTJKUGGSA-N
CN1CC2CC1CN2c1ccc(cn1)c1ccccc1,1,1.0,1.0,1.0,1.0,1.0,FSBKKFGQSCIUHX-UHFFFAOYSA-N
CN1CCN(CC1)c1cccc2c1CC(CO2)NC(=O)c1nn(nc1C)c1ccc(cc1C)C,1,1.0,1.0,1.0,1.0,1.0,OSYIFZXDCWRTND-UHFFFAOYSA-N
CNCCC(c1ccccc1)Oc1cc(Cl)ccc1C#N,1,1.0,1.0,1.0,1.0,1.0,MKUBTKKSMXGZTR-UHFFFAOYSA-N
COc1cc(ccc1Nc1ncc(c(n1)c1cnc2n1cccc2)Cl)N1CC2COCC(C1)N2,1,1.0,1.0,1.0,1.0,1.0,LYHJDICGPZUYSN-UHFFFAOYSA-N
COc1cc(ccc1Nc1ncc(c(n1)c1cnc2n1cccc2)Cl)OC1CCN(CC1)C(=O)C,1,1.0,1.0,1.0,1.0,1.0,RNGFVIWQFGXUID-UHFFFAOYSA-N
COc1cc2nnc(c(c2cc1N1CCN(CC1)C)Nc1cccc(c1F)Cl)C(=O)N,1,1.0,1.0,1.0,1.0,1.0,WQSAHRZHKPUJHY-UHFFFAOYSA-N
COc1ccc(cc1)C1(SCC(=N1)N)c1cccc(c1)c1cccnc1,1,1.0,1.0,1.0,1.0,1.0,JFLAZALMCCYJTK-UHFFFAOYSA-N
COc1ccc(cc1)c1ccc(nn1)CCCNc1ccc(cc1)CN1CCCCC1,1,1.0,1.0,1.0,1.0,1.0,UKHHETYTQCSWPT-UHFFFAOYSA-N
COc1ccc(cc1)c1nnc(o1)C(=O)N1CC(C1)Oc1ccc(c(c1)C)CN(C)C,1,1.0,1.0,1.0,1.0,1.0,LMMYTKUIDPWMNY-UHFFFAOYSA-N
COc1ccc(cc1)c1nnc(o1)C(=O)N1CC(C1)Oc1ccc(cc1)CN1CC(C(C1)(C)C)O,1,1.0,1.0,1.0,1.0,1.0,APBDYRIKMRSCNR-UHFFFAOYSA-N
COc1ccc(cc1)CC(=O)NCc1ccccc1c1ccccc1C(=O)NCCc1cccnc1,1,1.0,1.0,1.0,1.0,1.0,CHDSRMIDIQABTP-UHFFFAOYSA-N
COc1ccc2c(c1)c(=O)n(c(n2)C)c1ccc(cc1)OCCCN1CCCC1,1,1.0,1.0,1.0,1.0,1.0,ZEYAXGNLTQYPRW-UHFFFAOYSA-N
COc1ccc2c(c1)nc(n(c2=O)c1ccc(cc1)OCCCN1CCCC1)C,1,1.0,1.0,1.0,1.0,1.0,IHKNQMXGZAHPFS-UHFFFAOYSA-N
COc1ccc2c(n1)ccc(=O)n2CCN1CCC(CC1)NCc1cnc(c(c1)C#N)C,1,1.0,1.0,1.0,1.0,1.0,YFMQHUHDMJCXEB-UHFFFAOYSA-N
COc1cccc(c1)CN(c1cccc2c1cc[nH]2)C1CCNCC1,1,1.0,1.0,1.0,1.0,1.0,IWAYMZQFOINIBE-UHFFFAOYSA-N
COc1cccc2c1c(=O)n(c(n2)C)c1ccc(cc1)OCCCN1CCCC1,1,1.0,1.0,1.0,1.0,1.0,ZPPSMSQFRIDOED-UHFFFAOYSA-N
COc1cccc2c1nc(C)n(c2=O)c1ccc(cc1)OCCCN1CCCC1,1,1.0,1.0,1.0,1.0,1.0,PIVGGMBOWQDOKF-UHFFFAOYSA-N
COc1cnc2c(c1)n(CCN1CCC(CC1)c1[nH]c3c(n1)cc(c(c3)C)C#N)c(=O)cc2,1,1.0,1.0,1.0,1.0,1.0,QPIAIQHJZYBDGV-UHFFFAOYSA-N
COc1cnc2c(c1)n(CCN1CCC(CC1)c1[nH]c3c(n1)cc(c(c3)C)Cl)c(=O)cn2,1,1.0,1.0,1.0,1.0,1.0,QEODGMHUDFTKEX-UHFFFAOYSA-N
COc1cnc2c(c1)n(CCN1CCN(CC1)c1[nH]c3c(n1)cc(cc3)C(F)(F)F)c(=O)cc2,1,1.0,1.0,1.0,1.0,1.0,MZVQUVZELIRHGW-UHFFFAOYSA-N
COc4ccc3c(=O)n(CC(CO)NCc1cccnc1)c(C#N)c(c2ccccc2)c3c4,1,1.0,1.0,1.0,1.0,1.0,QVXQKRAROJSQBS-UHFFFAOYSA-N
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@]32OCc2c3cc(F)c(c2)F)C2CC2)c(c(c1)C)C,1,1.0,1.0,1.0,1.0,1.0,JEGFJOUJUPKNPT-IRPSRAIASA-N
F[C@H]1CN(CC[C@H]1N(C(=O)Cc1ccc(cc1)n1cnnn1)C)Cc1ccc(cn1)C(F)(F)F,1,1.0,1.0,1.0,1.0,1.0,BOSVYVGSGZEAPB-VQTJNVASSA-N
FC(Oc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)C12CNCC2C1)(F)F,1,1.0,1.0,1.0,1.0,1.0,AJNRYBGLAQDAEO-UHFFFAOYSA-N
FC(Oc1cccc(c1)n1nnc2c1nc(NCC1CCNCC1)cc2)(F)F,1,1.0,1.0,1.0,1.0,1.0,OZAALIWIRMBCOR-UHFFFAOYSA-N
Fc1cc(ccc1c1nnc(o1)NCCCN1CCCCC1)NC(=O)c1ccccc1F,1,1.0,1.0,1.0,1.0,1.0,NCQMWVKUWZGXIY-UHFFFAOYSA-N
Fc1cc2c(cc1)\C(\c1c(OC2)cccc1)=C\1/CCN(CC/1)CC(C(O)=O)(C)C,1,1.0,1.0,1.0,1.0,1.0,OMHNNPPNYKUGBF-UHFFFAOYSA-N
Fc1ccc(cc1)C(=O)Nc1ccc(cc1)c1nnc(o1)NCCCN1CCCCC1,1,1.0,1.0,1.0,1.0,1.0,QSTGKJAONZGCFL-UHFFFAOYSA-N
Fc1ccc(cc1)CCN1CCN(C(=O)C1)[C@H]1CCc2c(C1)ccc(c2)CN1[C@H](C)CCC[C@@H]1C,1,1.0,1.0,1.0,1.0,1.0,HHQBGLFFTJIAEO-CTWZREHQSA-N
Fc1ccc(cc1)CCN1CCN(C(=O)C1)[C@H]1CCc2c(C1)ccc(c2)CNCC(F)(F)F,1,1.0,1.0,1.0,1.0,1.0,BZZAXSZUWDZRBM-QHCPKHFHSA-N
Fc1cccc(c1)C1(CCN2[C@@H]3CC[C@@H]2C[C@@H](C3)n2c(C)nc3c2cccc3)CCN(CC1)C(=O)c1ccc(cc1Cl)NS(=O)(=O)C,1,1.0,1.0,1.0,1.0,1.0,KBOPCOOXEUGKAG-FQLXRVMXSA-N
Fc1cccc(c1F)c1nc2c(n1)cn(nc2)Cc1ccc(nc1)c1ccc(cc1C(F)(F)F)C(F)(F)F,1,1.0,1.0,1.0,1.0,1.0,WZFJSTZORFMJFF-UHFFFAOYSA-N
Fc1cccc2c1c(=O)n(c(n2)C)c1ccc(cc1)OCCCN1CCCC1,1,1.0,1.0,1.0,1.0,1.0,XXLZFTAERDLUAG-UHFFFAOYSA-N
N#Cc1cc(ccc1F)N1CCN(C1=O)CCN1Cc2c(C1)cccc2,1,1.0,1.0,1.0,1.0,1.0,DGTBKKBZRIVWMP-UHFFFAOYSA-N
N#Cc1ccc(cc1)CNC(=O)N(c1cccc(c1)F)C1CCN(CC1)CCC1(CCN(CC1)C(=O)C(O)(C)C)c1cccc(c1)F,1,1.0,1.0,1.0,1.0,1.0,WTOPKYCFRUBLMK-UHFFFAOYSA-N
N#Cc1ccc2c(c1)[nH]c(n2)C1CCC2(CC1)OC(=O)N(C2)c1ccccc1,1,1.0,1.0,1.0,1.0,1.0,VJDPCRVAZYFIDE-UHFFFAOYSA-N
N#Cc1ccc2cc1Oc1ccc3c(c1)c(ccc3)N1CC[C@H](C1=O)NC(=O)Cc1n(C2)cnc1,1,1.0,1.0,1.0,1.0,1.0,RBZQXEMPWMGPEK-HSZRJFAPSA-N
N#Cc1cccc(c1)CN(c1cccc2c1cc[nH]2)C1CCNCC1,1,1.0,1.0,1.0,1.0,1.0,DDKSIYXBCQRCLZ-UHFFFAOYSA-N
N#Cc1cnccc1COc1cnc(nc1)N1CCN(CC1C)c1noc(n1)C(C)C,1,1.0,1.0,1.0,1.0,1.0,UNGZTVLHLKAKQE-UHFFFAOYSA-N
N1CCC(CC1)N(c1cccc2c1ccs2)Cc1ccccc1,1,1.0,1.0,1.0,1.0,1.0,YWBYAAXIALYEHT-UHFFFAOYSA-N
N1CCC(CC1)N(c1cccc2c1cn[nH]2)Cc1ccccc1,1,1.0,1.0,1.0,1.0,1.0,NBUVTEUWOVUHAU-UHFFFAOYSA-N
n1cccc(c12)cc(cc2)CCN3[C@H](C)CCC3,1,1.0,1.0,1.0,1.0,1.0,HUQYUKHHFHNJRR-CYBMUJFWSA-N
NC(=O)c1ccc(cc1F)Nc1nccc(n1)c1cnc(n1C(C)C)C,1,1.0,1.0,1.0,1.0,1.0,BPYCWQSOZDKONE-UHFFFAOYSA-N
Nc1ccc(cn1)c1nnc([nH]1)C1CCN(CC1)Cc1ccc(cc1)c1nc2cc[nH]c(=O)c2cc1c1ccccc1,1,1.0,1.0,1.0,1.0,1.0,RPJKTTWXGDPQJT-UHFFFAOYSA-N
O(C[C@H]([NH3+])C)c1c(cccc1C)C,1,1.0,1.0,1.0,1.0,1.0,VLPIATFUUWWMKC-SNVBAGLBSA-O
O(C[C@H](O)C[NH2+]C(C)C)c1c2c(ccc1)cccc2,1,1.0,1.0,1.0,1.0,1.0,AQHHHDLHHXJYJD-CQSZACIVSA-O
O=C([C@@H](Oc1cccc2c1c(ncn2)Nc1ccc(c(c1)Cl)OCc1ccccn1)C)N(C)C,1,1.0,1.0,1.0,1.0,1.0,QPPYSOHWFOUKPX-INIZCTEOSA-N
O=C([C@H](Oc1cccc2c1c(ncn2)Nc1ccc(c(c1)Cl)OCc1ccccn1)C)N1CCOCC1,1,1.0,1.0,1.0,1.0,1.0,DBSISHZEFSMQPK-GOSISDBHSA-N
O=C(c1cc(ccc1OC(C(F)(F)F)C)S(=O)(=O)C)N1CCN(CC1)c1ccc(cc1)C(F)(F)F,1,1.0,1.0,1.0,1.0,1.0,ZHCZMQFTDTVWLU-UHFFFAOYSA-N
O=C(c1ccc(nc1)N1CCC2(CC1)CCN(C2)C(=O)C)Nc1cc(ccc1N)c1cccs1,1,1.0,1.0,1.0,1.0,1.0,RSSAPDUETMNSKF-UHFFFAOYSA-N
O=C(c1ccc(nc1)N1CCC2(CC1)CN(C2)C(=O)C)Nc1cc(ccc1N)c1cccs1,1,1.0,1.0,1.0,1.0,1.0,MDMBPFYECCKNBK-UHFFFAOYSA-N
O=C(c1ccc(nc1)N1CCC2(CC1)CNCC2)Nc1cc(ccc1N)c1cccs1,1,1.0,1.0,1.0,1.0,1.0,CHKGICCHQYDKNR-UHFFFAOYSA-N
O=C(C1CCN(CC1)Cc1ccn(c1)c1ccc(cc1)C(F)(F)F)NCCc1ccccn1,1,1.0,1.0,1.0,1.0,1.0,BKNLFUYWWCRDDZ-UHFFFAOYSA-N
O=C(N1CCC(C1)NC1CCC(CC1)(O)c1ccc(cn1)c1ncccn1)C1CCN(CC1)c1cccc(n1)C(F)(F)F,1,1.0,1.0,1.0,1.0,1.0,ZJHJRHOLIVTDGJ-UHFFFAOYSA-N
O=C(N1CCC(CC1)c1onc(n1)c1ccc2c(n1)cccc2)NCC1(CCCC1)N1CCOCC1,1,1.0,1.0,1.0,1.0,1.0,NBJILRZVNWFATM-UHFFFAOYSA-N
O=C(N1CCC(CC1)c1onc(n1)c1ccncc1)NC1CC1c1ccccc1,1,1.0,1.0,1.0,1.0,1.0,BLVRDPUKIXDEBG-UHFFFAOYSA-N
O=C(N1CCC(CC1)N1CCC(CC1)Oc1ccc(c(c1)Cl)Cl)NS(=O)(=O)c1ccccc1,1,1.0,1.0,1.0,1.0,1.0,MFJWXRIWIGLCGD-UHFFFAOYSA-N
O=C(N1CCCCC1C(=O)N1CCCC1)CC1CCN(CC1)Cc1ccn(c1)c1ccc(cc1)C(F)(F)F,1,1.0,1.0,1.0,1.0,1.0,LWYNHLQFGJBUEK-UHFFFAOYSA-N
O=C(NC1CCN(C1)CCC1CCN(CC1)C(=O)c1cc(F)ccc1F)CNC(=O)c1cccc(c1)C(F)(F)F,1,1.0,1.0,1.0,1.0,1.0,JOIKNLCNOLUIEO-UHFFFAOYSA-N
O=C(NC1CN(C1)C1CC[C@](CC1)(O)c1ccccc1)CNC(=O)c1cccc(c1)C(F)(F)F,1,1.0,1.0,1.0,1.0,1.0,QCPLMEBVJKAVGY-UHFFFAOYSA-N
O=C(NC1CN(C1)C1CCC(CC1)c1ccc(cn1)O)CNC(=O)c1cccc(c1)C(F)(F)F,1,1.0,1.0,1.0,1.0,1.0,ZXLRVOHADIRDTA-UHFFFAOYSA-N
O=C(Nc3ccc(S(=O)(=O)Nc1ccccc1C(=O)c2ccccn2)cc3)OCC4CCCO4,1,1.0,1.0,1.0,1.0,1.0,PLUSCNOLGPTWEQ-UHFFFAOYSA-N
O=C1CCc2c(N1)ccc(c2)[C@@H]([C@H](N1CC[C@](CC1)(O)c1cccc(c1)F)C)O,1,1.0,1.0,1.0,1.0,1.0,RRFPMVCMACNLJQ-IVZQSRNASA-N
O=C1CN(C(=O)N1C1CCC1)Cc1ccc(cc1)c1cccc(n1)CN1CCCCC1,1,1.0,1.0,1.0,1.0,1.0,FFJBSTIXVJOIBB-UHFFFAOYSA-N
O=C1CN(C(=O)N1CC(F)(F)F)Cc1ccc(cc1)c1cccc(n1)CN1CCCCC1,1,1.0,1.0,1.0,1.0,1.0,GRMUMARBFBEJJG-UHFFFAOYSA-N
O=C1CN(C(=O)N1CC1CC1)Cc1ccc(cc1)c1ccc(c(n1)CN1CCCCC1)F,1,1.0,1.0,1.0,1.0,1.0,FYSLKHHAYTZFMU-UHFFFAOYSA-N
O=C1CN(C(=O)N1CC1CC1)Cc1ccc(cc1)c1cccc(n1)CN1CCCCC1,1,1.0,1.0,1.0,1.0,1.0,XXIXUFWGNLLBPB-UHFFFAOYSA-N
O=C1N(CC[C@@H]1[NH2+]Cc1n(cnc1)Cc1ccc(cc1)C#N)C(=O)c1cccnc1C,1,1.0,1.0,1.0,1.0,1.0,DEGBCQBDRINUIO-NRFANRHFSA-O
O=C1N(CCN2Cc3c(C2)cccc3)CCN1c1ccc2c(c1)ccn2C(=O)C,1,1.0,1.0,1.0,1.0,1.0,JPTWRZCVSGGHPS-UHFFFAOYSA-N
